"   zus: Bei der Frau
 lemma: werden
 narg1: der Geschlechtshöcker
 narg2: zur Klitoris",,"



kli (""Klitoris"")",,27.05.2025 23:00:23 CEST,1,C8FJ558Z,2575YNWY,275,01A
" lemma: zwischen liegen
 nargA: dem Diaphragma urogenitale
 pspez: in der Tiefe der großen Schamlippen",,,,27.05.2025 23:00:34 CEST,42,HBA4D47V,AW8GI26B,840,01B
" lemma: zwischen liegen
 nargA: dem Diaphragma urogenitale
 nargB: dem dorsalen Ende der Bulbi vestibuli
 pspez: in der Tiefe der großen Schamlippen",,"


bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:34 CEST,42,HBA4D47V,AW8GI26B,840,01C
" lemma: zwischen liegen
 nargA: dem Diaphragma urogenitale
 nargB: dem dorsalen Ende der Bulbi vestibuli
 pspez: in der Tiefe der großen Schamlippen",,"


bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:34 CEST,42,HBA4D47V,AW8GI26B,840,01D
" lemma: ,
 narg1: Der Kitzler
 narg2: Clitoris",,"

kli (""Kitzler"")
kli",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,01A
"lemmaA: ein reich sensorisch innerviertes Organ sein
  narg: Der Kitzler , Clitoris",,"

kli (""Clitoris"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,02A
"lemmaB: ein leicht erektiles Organ sein
  narg: Der Kitzler , Clitoris",,"

kli (""Clitoris"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,02B
" lemma: entwicklungsgeschichtlich dem männlichen Penis entsprechen
  narg: das",,,,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,03A
"   zus: bei der Frau
 lemma: nicht in einem Organ vereint sein
  narg: die Corpora cavernosa und die Harnröhre",,"


cac (""Corpora cavernosa"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,04A
"   zus: bei der Frau
 lemma: nicht in einem Organ vereint sein
  narg: die Corpora cavernosa und die Harnröhre
 pspez: Im Unterschied zum Penis",,"


cac (""Corpora cavernosa"")
",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,04B
"lemmaA: die Aufnahme der sexuellen Erregung sein
  narg: Die Funktion der Klitoris",,"

kli (""Klitoris"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,05A
"lemmaB: die Erhöhung der sexuellen Erregung sein
  narg: Die Funktion der Klitoris",,"

kli (""Klitoris"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,05B
"lemmaA: dorsal der vorderen Kommissur liegen
  narg: Der Kitzler",,"

gla (""Kitzler"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,06A
"lemmaB: dorsal des Präputiums liegen
  narg: Der Kitzler",,"
pra (""Präputiums"")
gla (""Kitzler"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,06B
" lemma: etwa 2,5 cm ventral der Harnröhrenmündung liegen
  narg: Der Kitzler",,"

gla (""Kitzler"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,07A
" lemma: ,
 narg1: Zwei kurze Schwellkörper
 narg2: Corpora cavernosa clitoridis",,"

cac (""Schwellkörper"")
cac",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,08A
" lemma: umhüllt sein
  narg: die",,,,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,09A
" lemma: umhüllt sein
  narg: die
 pspez: von einer faserreichen Bindegewebelage , Fascia clitoridis",,"


tac/tas (""Fascia clitoridis"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,09B
" lemma: geteilt sein
  narg: die",,,,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,10A
" lemma: geteilt sein
  narg: die
 pspez: von einem Septum",,"


sep (""Septum"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,10B
" lemma: den Klitoriskörper , Corpus clitoridis bilden
  narg: Zwei kurze Schwellkörper , Corpora cavernosa clitoridis",,"
cor (""Corpus clitoridis"")
cac (""Corpora cavernosa clitoridis"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,11A
" lemma: ,
 narg1: den Klitoriskörper
 narg2: Corpus clitoridis",,"

cor (""Klitoriskörper"")
cor",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,12A
" lemma: knötchenförmig enden
  narg: Er","

Klitoriskörper",,,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,13A
" lemma: knötchenförmig enden
  narg: Er
 pspez: mit der Eichel , Glans clitoridis","

Klitoriskörper
","


gla (""Glans clitoridis"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,13B
" lemma: ,
 narg1: Eichel
 narg2: Glans clitoridis",,"

gla
gla",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,14A
" lemma: am Unterrand der Schambeinäste entspringen
  narg: Die beiden Corpora cavernosa",,"

cac (""Corpora cavernosa"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,15A
" lemma: am Unterrand der Schambeinäste entspringen
  narg: Die beiden Corpora cavernosa
 pspez: als deutlich größere Schwellkörper {als der Corpus clitoridis} , Klitorisschenkel ( Crura clitoridis )",,"

cac (""Corpora cavernosa"")
cru (""Crura clitoridis"")",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,15B
" lemma: ,
 narg1: deutlich größere Schwellkörper {als der Corpus clitoridis}
 narg2: Klitorisschenkel
 narg3: Crura clitoridis",,"


cru
cru",,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,16A
"lemmaA: bedeckt werden
 narg1: Die Schenkel
 narg2: durch die Mm. ischiocavernosi",,,,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,17A
"lemmaB: verankert werden
 narg1: Die Schenkel
 narg2: durch die Mm. ischiocavernosi",,,,27.05.2025 23:00:35 CEST,43,HBA4D47V,BY3DF8LD,839,17B
 lemma: zur Klitoris zeihen,,"
gla (""Klitoris"")",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,01A
" lemma: zur Klitoris zeihen
pspez1: Mit dem tiefer gelegenen Teil",,"
gla (""Klitoris"")
",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,01B
" lemma: zur Klitoris zeihen
pspez1: sie","

die kleinen Schamlippen","
gla (""Klitoris"")
",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,01C
" lemma: zur Klitoris zeihen
pspez1: als Kitzlerzügel , Frenula clitoridis",,"
gla (""Klitoris"")
fre (""Frenula clitoridis"")",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,01D
" lemma: ,
 narg1: Kitzlerzügel
 narg2: Frenula clitoridis",,"

fre
fre",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,02A
" lemma: in die Kitzlervorhaut , Praeputium clitoridis , übergehen
  narg: Die oberflächlichen Anteile {der kleinen Schamlippen}",,"
pra (""Praeputium clitoridis"")
",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,03A
" lemma: ,
 narg1: Kitzlervorhaut
 narg2: Praeputium clitoridis",,"

pra
pra",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,04A
" lemma: bedecken
 narg1: die
 narg2: die Klitoris","

Kitzlervorhaut
","


gla (""Klitoris"")",,27.05.2025 23:00:35 CEST,44,HBA4D47V,C54SNUUY,839,05A
"   zus: {bei} neugeborene{n} Mädchen
 lemma: im Verhältnis zu den anderen Genitalorganen relativ groß sein
  narg: Die Klitoris",,"


kli (""Klitoris"")",,27.05.2025 23:00:35 CEST,45,HBA4D47V,CQEKF29L,872,01A
" lemma: die Vv. dorsalia clitoridis enthalten
  narg: Die untere Abteilung des Spatium retropubicum",,"
ven (""Vv. dorsalia clitoridis"")
",,27.05.2025 23:00:35 CEST,46,HBA4D47V,DYAZ9PKM,755,01A
"lemmaA: taktile Reizung des äußeren Genitales , besonders von Klitoris sein
  narg: Stimuli der sexuellen Reaktion",,"
kli
",,27.05.2025 23:00:36 CEST,47,HBA4D47V,GE9YE6A7,876,01A
"lemmaB: taktile Reizung des äußeren Genitales , besonders von Präputium sein
  narg: Stimuli der sexuellen Reaktion",,"
pra
",,27.05.2025 23:00:36 CEST,47,HBA4D47V,GE9YE6A7,876,01B
"lemmaC: taktile Reizung des äußeren Genitales , besonders von Frenuli clitoridis sein
  narg: Stimuli der sexuellen Reaktion",,"
fre
",,27.05.2025 23:00:36 CEST,47,HBA4D47V,GE9YE6A7,876,01C
"lemmaD: taktile Reizung des äußeren Genitales , besonders von Innenfläcdehre kleinen Labien sein
  narg: Stimuli der sexuellen Reaktion",,,,27.05.2025 23:00:36 CEST,47,HBA4D47V,GE9YE6A7,876,01D
" lemma: liegen
 narg1: In der Subkutis
narg2A: ein sich in der Pubertät ausbildendes Fettpolster",,,,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,01A
" lemma: liegen
 narg1: In der Subkutis
narg2A: ein sich in der Pubertät ausbildendes Fettpolster
narg2B: ein Venenplexus",,"



bul",,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,01B
" lemma: Hauptbestandteil des Schwellkörpers , Bulbus vestibuli sein
  narg: Der Venenplexus",,"
bul (""Bulbus vestibuli"")
",,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,02A
" lemma: ,
 narg1: Schwellkörpers
 narg2: Bulbus vestibuli",,"


bul",,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,03A
" lemma: bedeckt werden
  narg: Der Venenplexus",,,,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,04A
" lemma: bedeckt werden
  narg: Der Venenplexus
  farg: vom M. bulbospongiosus",,,,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,04B
"   zus: Bei Füllung der Bulbi
 lemma: anschwellen
  narg: die großen Schamlippen",,"bul (""Bulbi"")


",,27.05.2025 23:00:36 CEST,48,HBA4D47V,GKX8LMRK,839,05A
" lemma: dienen
 narg1: Die Reizung der Klitoris
narg2A: der Aufnahme der sexuellen Erregung",,"

kli (""Klitoris"")
",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,01A
" lemma: dienen
 narg1: Die Reizung der Klitoris
narg2A: der Aufnahme der sexuellen Erregung
narg2B: Auslösung der sexuellen Erregung",,"

kli (""Klitoris"")

",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,01B
" lemma: dienen
 narg1: Die Reizung der Klitoris
narg2A: der Aufnahme der sexuellen Erregung
narg2B: Auslösung der sexuellen Erregung
narg2C: Erhöhung der sexuellen Erregung",,"

kli (""Klitoris"")


",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,01C
"   zus: Bei sexueller Erregung
 lemma: anschwellen
  narg: Die Corpora cavernosa clitoridis",,"


cac (""Corpora cavernosa clitoridis"")",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,02A
"   zus: Bei sexueller Erregung
 lemma: anschwellen
  narg: die Glans clitoridis",,"


gla (""Glans clitoridis"")",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,03A
"   zus: Bei sexueller Erregung
 lemma: anschwellen
  narg: die Glans clitoridis
 pspez: im geringen Umfang",,"


gla (""Glans clitoridis"")
",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,03B
"   zus: Bei sexueller Erregung
 lemma: retrahieren
  narg: der Crura clitoridis",,"


cru (""Crura clitoridis"")",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,04A
"   zus: Bei sexueller Erregung
 lemma: unter das Präputium gezogen werden
  narg: die Klitoris",,"

pra (""Präputium"")
gla (""Klitoris"")",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,05A
"   zus: Bei sexueller Erregung
 lemma: unter das Präputium gezogen werden
  narg: die Klitoris
 pspez: in Richtung Symphysenrand",,"

pra (""Präputium"")
gla (""Klitoris"")
",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,05B
"   zus: Bei sexueller Erregung
 lemma: unter das Präputium gezogen werden
  narg: die Klitoris
 pspez: in Richtung Symphysenrand
 gspez: Durch eine Retraktion der Crura clitoridis",,"

pra (""Präputium"")
gla (""Klitoris"")

cru (""Crura clitoridis"")",,27.05.2025 23:00:36 CEST,49,HBA4D47V,KEINYR3G,875,05C
" lemma: Zum äußeren Genitale zählen
 nargA: Schamberg ( Mons pubis )",,,,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,01A
" lemma: Zum äußeren Genitale zählen
 nargA: Schamberg ( Mons pubis )
 nargB: große ( Labia majora pudendi )",,,,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,01B
" lemma: Zum äußeren Genitale zählen
 nargA: Schamberg ( Mons pubis )
 nargB: große ( Labia majora pudendi )
 nargC: kleine Schamlippen ( Labia minorapudendi )",,,,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,01C
" lemma: Zum äußeren Genitale zählen
 nargA: Schamberg ( Mons pubis )
 nargB: große ( Labia majora pudendi )
 nargC: kleine Schamlippen ( Labia minorapudendi )
 nargD: Kitzler ( Clitoris )",,"




kli (""Clitoris"")",,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,01D
" lemma: Zum äußeren Genitale zählen
 nargA: Schamberg ( Mons pubis )
 nargB: große ( Labia majora pudendi )
 nargC: kleine Schamlippen ( Labia minorapudendi )
 nargD: Kitzler ( Clitoris )
 nargE: Scheidenvorhof ( Vestibulum vaginae )",,"




kli (""Clitoris"")
",,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,01E
" lemma: Zum äußeren Genitale zählen
 nargA: Schamberg ( Mons pubis )
 nargB: große ( Labia majora pudendi )
 nargC: kleine Schamlippen ( Labia minorapudendi )
 nargD: Kitzler ( Clitoris )
 nargE: Scheidenvorhof ( Vestibulum vaginae )
 nargF: die Scheidenvorhofdrüsen ( GIl .
vestibulares major et minores )",,"




kli (""Clitoris"")

",,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,01F
" lemma: synonym sein
 narg1: Kitzler
 narg2: Clitoris",,"

kli
kli",,27.05.2025 23:00:37 CEST,50,HBA4D47V,KLM2I7DD,838,02A
" lemma: sich ventral im Praeputium clitoridis fortsetzen
  narg: Sie","

Die kleinen Schamlippen","
pra (""Praeputium clitoridis"")
",,27.05.2025 23:00:37 CEST,51,HBA4D47V,NPEYU4CQ,748,01A
" lemma: sich vereinen
  narg: dessen Falten","

Praeputium clitoridis (""dessen"")",,,27.05.2025 23:00:37 CEST,51,HBA4D47V,NPEYU4CQ,748,02A
" lemma: sich vereinen
  narg: dessen Falten
 pspez: vor der Klitoris","

Praeputium clitoridis (""dessen"")
","


gla (""Klitoris"")",,27.05.2025 23:00:37 CEST,51,HBA4D47V,NPEYU4CQ,748,02B
" lemma: ein Derivat des Genitalhöckers sein
  narg: Die Klitoris",,"

kli (""Klitoris"")",,27.05.2025 23:00:37 CEST,51,HBA4D47V,NPEYU4CQ,748,03A
"   zus: Die Vaskularisierung der Vagina während der Schwangerschaft führt zur Ausbildung von Venen
 lemma: funktionelle Schwellkörper bilden
  narg: diese Venen","


Venen","

?
","


klitorisbezug da? um welche schwellkörper geht es?",27.05.2025 23:00:37 CEST,52,HBA4D47V,W2Q7Z8ZE,867,01A
"   zus: Die Vaskularisierung der Vagina während der Schwangerschaft führt zur Ausbildung von Venen
 lemma: funktionelle Schwellkörper bilden
  narg: diese Venen
 pspez: um die Vagina","


Venen
","

?

","


klitorisbezug da? um welche schwellkörper geht es?
",27.05.2025 23:00:37 CEST,52,HBA4D47V,W2Q7Z8ZE,867,01B
" lemma: entstehen
  narg: Angeborene Hyperplasien der Klitoris oder der Labia minora",,"

kli (""Klitoris"")",,27.05.2025 23:00:37 CEST,53,HBA4D47V,ZR294NUB,748,01A
" lemma: entstehen
  narg: Angeborene Hyperplasien der Klitoris oder der Labia minora
 fargA: durch androgene Hormoneinflüsse von mütterlicher Seite",,"

kli (""Klitoris"")
",,27.05.2025 23:00:37 CEST,53,HBA4D47V,ZR294NUB,748,01B
" lemma: entstehen
  narg: Angeborene Hyperplasien der Klitoris oder der Labia minora
 fargB: im Rahmen eines adrenogenitalen Syndroms",,"

kli (""Klitoris"")
",,27.05.2025 23:00:37 CEST,53,HBA4D47V,ZR294NUB,748,01C
" lemma: auf den Rücken der Klitoris gelangen
  narg: Ein N. dorsalis clitoridis",,"
kli (""Klitoris"")
ner",,27.05.2025 23:00:38 CEST,54,HBA4D47V,ZR6QMVF7,841,01A
" lemma: hauptsächlich die A. pudenda interna begleiten
  narg: Sie","

sympathische Fasern aus dem Plexus hypogastricus inferior",,,27.05.2025 23:00:38 CEST,54,HBA4D47V,ZR6QMVF7,841,02A
" lemma: die Durchblutung des Schwellkörpers regulieren
  narg: Sie","

sympathische Fasern aus dem Plexus hypogastricus inferior","
? (""Schwellkörpers"")
",,27.05.2025 23:00:38 CEST,54,HBA4D47V,ZR6QMVF7,841,03A
" lemma: dem Vestibulum vaginae auf liegen
  narg: Die Bulbi vestibuli",,"

bul (""Bulbi vestibuli"")",,27.05.2025 23:00:39 CEST,61,M45LADVB,3L832H7C,263,01A
" lemma: dem Vestibulum vaginae auf liegen
  narg: Die Bulbi vestibuli
 pspez: als dichte Venengeflechte",,"

bul (""Bulbi vestibuli"")
",,27.05.2025 23:00:39 CEST,61,M45LADVB,3L832H7C,263,01B
" lemma: mit dem kavernösen Gewebe der Clitoris in Zusammenhang stehen
  narg: Die Bulbi vestibuli",,"
kli (""Clitoris"")
bul (""Bulbi vestibuli"")",,27.05.2025 23:00:39 CEST,61,M45LADVB,3L832H7C,263,02A
"   zus: Einführung des Gliedes in das weibliche Genitale
lemmaA: in engen Kontakt mit den Wänden der Scheide kommen
  narg: das Glied",,,,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,01A
"   zus: Einführung des Gliedes in das weibliche Genitale
lemmaA: in engen Kontakt mit den Wänden der Scheide kommen
  narg: das Glied
 pspez: Durch die Volumenzunahme",,,,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,01B
"   zus: Einführung des Gliedes in das weibliche Genitale
lemmaB: in engen Kontakt mit den kleinen Schamlippen kommen
  narg: das Glied",,,,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,01C
"   zus: Einführung des Gliedes in das weibliche Genitale
lemmaB: in engen Kontakt mit den kleinen Schamlippen kommen
  narg: das Glied
 pspez: Durch die Volumenzunahme",,,,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,01D
"   zus: Einführung des Gliedes in das weibliche Genitale
lemmaC: in engen Kontakt {mit} dem Kitzler kommen
  narg: das Glied",,"

kli (""Kitzler"")
",,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,01E
"   zus: Einführung des Gliedes in das weibliche Genitale
lemmaC: in engen Kontakt {mit} dem Kitzler kommen
  narg: das Glied
 pspez: Durch die Volumenzunahme",,"

kli (""Kitzler"")

",,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,01F
"   zus: sowohl beim Mann wie bei der Frau
 lemma: gereizt werden
  narg: die Genitalnervenkörperchen",,"


? (""Genitalnervenkörperchen"")",,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,02A
"   zus: sowohl beim Mann wie bei der Frau
 lemma: gereizt werden
  narg: die Genitalnervenkörperchen
 pspez: Dadurch",,"


? (""Genitalnervenkörperchen"")
",,27.05.2025 23:00:40 CEST,64,M45LADVB,3D8N38KZ,266,02B
" lemma: wesentlich schwächer {als die A. penis} sein
  narg: Die A. clitoridis",,"

art (""A. clitoridis"")",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,01A
"lemmaA: sich in die A. bulbi vestibuli vaginae teilen
  narg: Die A. clitoridis",,"
art
art (""A. clitoridis"")",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02A
"lemmaA: sich in die A. bulbi vestibuli vaginae teilen
  narg: Die A. clitoridis
 pspez: in gleicher Weise {wie die A. penis}",,"
art
art (""A. clitoridis"")
",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02B
"lemmaB: sich in die A. urethralis teilen
  narg: Die A. clitoridis",,"

art (""A. clitoridis"")",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02C
"lemmaB: sich in die A. urethralis teilen
  narg: Die A. clitoridis
 pspez: in gleicher Weise {wie die A. penis}",,"

art (""A. clitoridis"")
",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02D
"lemmaC: sich in die A. profunda {clitoridis} teilen
  narg: Die A. clitoridis",,"
art
art (""A. clitoridis"")",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02E
"lemmaC: sich in die A. profunda {clitoridis} teilen
  narg: Die A. clitoridis
 pspez: in gleicher Weise {wie die A. penis}",,"
art
art (""A. clitoridis"")
",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02F
"lemmaD: sich in die {A.} dorsalis clitoridis teilen
  narg: Die A. clitoridis",,"
art
art (""A. clitoridis"")",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02G
"lemmaD: sich in die {A.} dorsalis clitoridis teilen
  narg: Die A. clitoridis
 pspez: in gleicher Weise {wie die A. penis}",,"
art
art (""A. clitoridis"")
",,27.05.2025 23:00:43 CEST,84,M45LADVB,R7MYH3X7,268,02H
" lemma: vom Crus des Corpus cavernosum clitoridis ( bzw. penis entspringen
  narg: Der Muskel","

M. ischiocavernosus","
cac (""Corpus cavernosum clitoridis"")
",,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,01A
" lemma: entsprechen
 narg1: Crus des Corpus cavernosum clitoridis
 narg2: {Crus des Corpus cavernosum} penis",,"

cac (""Corpus cavernosum clitoridis"")
",,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,02A
" lemma: diese Schwellkörper umhüllen
  narg: Der Muskel","

M. ischiocavernosus","
?; -> u.c.StringArray(elements=['cac']) (""Schwellkörper"")
",,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,03A
" lemma: ansetzen
  narg: Der Muskel","

M. ischiocavernosus",,,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,04A
" lemma: ansetzen
  narg: Der Muskel
 pspez: vorn an ihrer Tunica albuginea","

M. ischiocavernosus
",,,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,04B
"   zus: teils
 lemma: sich mit Fasern der anderen Seite vereinigen
  narg: Der Muskel","


M. ischiocavernosus",,,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,05A
"   zus: teils
 lemma: sich mit Fasern der anderen Seite vereinigen
  narg: Der Muskel
pspez1: auf dem Dorsum der Schwellkörper","


M. ischiocavernosus
","



?; -> u.c.StringArray(elements=['cac']) (""Schwellkörper"")",,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,05B
"   zus: teils
 lemma: sich mit Fasern der anderen Seite vereinigen
  narg: Der Muskel
pspez1: schlingenförmig","


M. ischiocavernosus
",,,27.05.2025 23:00:44 CEST,86,M45LADVB,9PKAZJVU,267,05C
" lemma: die männlichen und weiblichen Schwellkörper versorgen
  narg: Sie {die Fasern des Ganglion pelvinum}",,"
? (""Schwellkörper"")
","vergleich zwischen penis und clitoris ist schwer als proposition darzustellen, deswegen weggelassen

",27.05.2025 23:00:44 CEST,87,M45LADVB,SY73QC67,244,01A
" lemma: die männlichen und weiblichen Schwellkörper versorgen
  narg: Sie {die Fasern des Ganglion pelvinum}
 pspez: als Plexus corporis cavernosi penis und clitoridis",,"
? (""Schwellkörper"")

ner (""clitoridis"")","vergleich zwischen penis und clitoris ist schwer als proposition darzustellen, deswegen weggelassen


",27.05.2025 23:00:44 CEST,87,M45LADVB,SY73QC67,244,01B
" lemma: ausgebildet sein
  narg: Körper mit komplizierten Bluträumen",,,,27.05.2025 23:00:44 CEST,88,M45LADVB,BSBCVTMJ,262,01A
" lemma: ausgebildet sein
  narg: Körper mit komplizierten Bluträumen
 gspez: Um bei der Begattung eine möglichst innige Vereinigung zu ermöglichen und dadurch das Wollustgefühl zu erhöhen",,,,27.05.2025 23:00:44 CEST,88,M45LADVB,BSBCVTMJ,262,01B
"   zus: bei erhöhter Blutfüllung
 lemma: anschwellen
  narg: die","


Körper mit komplizierten Bluträumen",,,27.05.2025 23:00:44 CEST,88,M45LADVB,BSBCVTMJ,262,02A
" lemma: als Schwellkörper bezeichnet werden
  narg: Sie","

Körper mit komplizierten Bluträumen","
?; -> u.c.StringArray(elements=['cac']) (""Schwellkörper"")
",,27.05.2025 23:00:44 CEST,88,M45LADVB,BSBCVTMJ,262,03A
"   zus: zunächst
 lemma: bei beiden Geschlechtern gleichsein
  narg: Ihre Anlage","


Schwellkörper (""Ihre"")","


?; -> u.c.StringArray(elements=['cac']) (""Schwellkörper"")",,27.05.2025 23:00:44 CEST,88,M45LADVB,BSBCVTMJ,262,04A
"lemmaA: sich 1. in quere Züge , die Mm. perinei sondern
  narg: Die den Sinus urogenitalis umgebende Muskulatur",,,,27.05.2025 23:00:45 CEST,89,M45LADVB,V8MBJZFP,267,01A
"lemmaB: sich 2. in die die Schwellkörper umgebenden Muskeln sondern
  narg: Die den Sinus urogenitalis umgebende Muskulatur",,"
? (""Schwellkörper"")
",,27.05.2025 23:00:45 CEST,89,M45LADVB,V8MBJZFP,267,01B
" lemma: den unteren Schambeinästen anliegend
  narg: Crura clitoridis",,"

cru",,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,01A
" lemma: den unteren Schambeinästen anliegend
  narg: Crura clitoridis
 pspez: unter dem M. ischiocavernosus",,"

cru
",,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,01B
" lemma: sich vereinigen
  narg: Die unter dem M. ischiocavernosus den unteren Schambeinästen anliegenden Crura clitoridis",,"

cru (""Crura clitoridis"")",,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,02A
" lemma: sich vereinigen
  narg: Die unter dem M. ischiocavernosus den unteren Schambeinästen anliegenden Crura clitoridis
pspez1: vor der Symphyse",,"

cru (""Crura clitoridis"")
",,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,02B
" lemma: sich vereinigen
  narg: Die unter dem M. ischiocavernosus den unteren Schambeinästen anliegenden Crura clitoridis
pspez1: zum unpaaren Corpus clitoridis",,"

cru (""Crura clitoridis"")
cor (""Corpus clitoridis"")",,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,02C
" lemma: spitzwinklig herabhängen
  narg: das","

Corpus clitoridis","

cor",,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,03A
"   zus: auch bei sexueller Reizung
 lemma: sich nicht aufrichten",,,,27.05.2025 23:00:45 CEST,90,M45LADVB,GJ3R2CNU,262,04A
